Price,Brand,Coprocessor,Video Memory,Clock,Video Output,Link,data-brand,data-mem,data-price,data-clock,data-processor,data-ram,i
 $400.00 ,ZOTAC,NVIDIAGeForceRTX4060Ti,8GB GDDR6,2535 MHz,HDMI;DisplayPort,https://amzn.to/48ozIyo,ZOTAC,mem8,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $340.00 ,ZOTAC,NVIDIA GeForce RTX 3060,12GB GDDR6,1807 MHz,HDMI;DisplayPort,https://amzn.to/4aRy0r6,ZOTAC,mem12,300to400,1.5to2,NVIDIAGeForceRTX3060,GDDR6 ,
 $430.00 ,ZOTAC,NVIDIA GeForce RTX 4060 Ti,8GB GDDR6,2550 MHz,HDMI;DisplayPort,https://amzn.to/3vm6vp9,ZOTAC,mem8,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $462.00 ,ZOTAC,NVIDIA GeForce RTX 3060 Ti,8GB GDDR6,,HDMI,https://amzn.to/48r6W0d,ZOTAC,mem8,400to500,,NVIDIAGeForceRTX3060Ti,GDDR6 ,
 $312.00 ,msi,NVIDIA GeForce RTX 3060,12GB GDDR6,1807 MHz,HDMI;DisplayPort,https://amzn.to/3vvCinO,msi,mem12,300to400,1.5to2,NVIDIAGeForceRTX3060,GDDR6 ,
 $365.00 ,ASUS,NVIDIA GeForce RTX 4060,8GB GDDR6,2550 MHz,DisplayPort,https://amzn.to/4aNKy2B,ASUS,mem8,300to400,2.5to3,NVIDIAGeForceRTX4060,GDDR6 ,
 $440.00 ,ZOTAC,NVIDIA GeForce RTX 4060 Ti,16GB GDDR6,2595 MHz,HDMI;DisplayPort,https://amzn.to/3RTQs9B,ZOTAC,mem16,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $330.00 ,GIGABYTE,RX 6600,8GB GDDR6,2044 MHz,HDMI;DisplayPort,https://amzn.to/48taMWx,GIGABYTE,mem8,300to400,2to2.5,RX6600,GDDR6 ,
 $580.00 ,PowerColor,AMD Radeon RX 7800 XT,16GB GDDR6,2213 MHz,HDMI;DisplayPort,https://amzn.to/3O1edeT,PowerColor,mem16,500to1000,2to2.5,AMDRadeonRX7800XT,GDDR6 ,
 $290.00 ,PowerColor,AMD Radeon RX 6700,8GB GDDR6,2250 MHz,HDMI;DisplayPort,https://amzn.to/3Sad5YY,PowerColor,mem8,200to300,2to2.5,AMDRadeonRX6700,GDDR6 ,
